id,name,rating,address,city,latitude,longitude
140,boba-pub-san-jose,4.0,1576 Branham Ln,      San Jose,37.25,121.90
141,teaspoon-san-jose-2,4.0,4328 Moorpark Ave,      San Jose,37.32,121.98
142,passion-t-snacks-and-desserts-san-jose,4.0,2266 Senter Rd,      San Jose,37.31,121.85
143,pop-up-tea-coffee-and-snacks-san-jose,4.0,185 Branham Ln,      San Jose,37.27,121.83
146,sinceretea-san-jose-2,4.0,392 E Taylor St,      San Jose,37.35,121.89
148,soyful-desserts-san-jose-2,4.0,999 Story Rd,      San Jose,37.33,121.86
149,one-tea-san-jose-4,4.0,231 E Santa Clara St,      San Jose,37.34,121.89
150,i-tea-san-jose,4.0,2936 Aborn Square Rd,      San Jose,37.31,121.81
152,createave-cafe-san-jose-4,4.0,1698 Hostetter Rd,      San Jose,37.39,121.88
153,tleaf-teapresso-san-jose-3,4.0,860 Blossom Hill Rd,      San Jose,37.25,121.86
155,teatop-san-jose-2,4.0,6158 Bollinger Rd,      San Jose,37.31,122.01
156,bubbly-san-jose-4,4.0,1816 Tully Rd,      San Jose,37.32,121.82
157,vampire-penguin-featuring-jastea-san-jose,4.0,2671 Cropley Ave,      San Jose,37.40,121.88
158,simply-boba-san-jose,4.0,3005 Silver Creek Rd,      San Jose,37.31,121.81
161,shincha-tea-san-jose-3,4.0,2487 Alvin Ave,      San Jose,37.32,121.83
162,sharetea-santa-clara-3,4.0,1171 Homestead Rd,      Santa Clara,37.35,121.95
163,chatime-san-jose-san-jose-3,4.0,311 N Capitol Ave,      San Jose,37.37,121.85
165,t-spot-boba-drinks-and-snacks-san-jose,4.0,2520 Berryessa Rd,      San Jose,37.39,121.86
166,meow-tea-san-jose,4.0,2857 Senter Rd,      San Jose,37.30,121.84
170,bfresh-snacks-and-drinks-san-jose,4.0,3005 Silver Creek Rd,      San Jose,37.31,121.81
171,beibay-tea-san-jose,4.0,1180 Blossom Hill Rd,      San Jose,37.25,121.88
176,soyful-desserts-san-jose-8,4.0,3005 Silver Creek Rd,      San Jose,37.31,121.81
177,oooh-san-jose-4,4.0,1783 E Capitol Expwy,      San Jose,37.31,121.81
178,the-tea-zone-lounge-san-jose,4.0,403 N Capitol Ave,      San Jose,37.37,121.85
180,tapioca-express-san-jose-8,4.0,81 Curtner Ave,      San Jose,37.30,121.86
184,morimoto-napa-napa,4.0,610 Main St,      Napa,38.30,122.28
190,sushi-grill-vallejo,4.0,5184 Sonoma Blvd,      Vallejo,38.15,122.25
195,westea-pleasanton,4.0,4233 Rosewood Dr,      Pleasanton,37.70,121.87
197,i-tea-dublin-dublin,4.0,4064 Grafton St,      Dublin,37.70,121.87
199,i-tea-pleasanton,4.0,915 Main St,      Pleasanton,37.67,121.87
201,tea-factory-dublin-2,4.0,8945 San Ramon Rd,      Dublin,37.72,121.94
202,icicles-pleasanton,4.0,600 Main St,      Pleasanton,37.66,121.88
203,sharetea-dublin-3,4.0,7375 Amador Valley Blvd,      Dublin,37.71,121.93
208,360-crepes-pleasanton-3,4.0,3120 Santa Rita Rd,      Pleasanton,37.69,121.88
210,i-tea-san-ramon-3,4.0,21001 San Ramon Valley Blvd,      San Ramon,37.72,121.94
213,cafe-taiwan-pleasanton-9,4.0,3550 Stanley Blvd,      Pleasanton,37.67,121.86
214,cafe-junction-pleasanton-3,4.0,5321 Hopyard Rd,      Pleasanton,37.70,121.90
215,o-honey-dublin,4.0,3862 Fallon Rd,      Dublin,37.70,121.85
216,the-mix-creamery-dublin-2,4.0,6601 Dublin Blvd,      Dublin,37.70,121.91
217,tasty-pot-dublin,4.0,4288 Dublin Blvd,      Dublin,37.70,121.88
220,menchies-frozen-yogurt-dublin,4.0,3742 Fallon Rd,      Dublin,37.70,121.85
221,blossom-bee-dublin,4.0,7335 Village Pkwy,      Dublin,37.71,121.93
225,kee-wah-bakery-dublin,4.0,4288 Dublin Blvd,      Dublin,37.70,121.88
226,blush-organic-frozen-yogurt-dublin,4.0,4640 Tassajara Rd,      Dublin,37.71,121.87
230,yogurtland-dublin,4.0,6851 Amador Plz Rd,      Dublin,37.71,121.93
233,pho-99-dublin-5,4.0,7459 Amador Valley Blvd,      Dublin,37.71,121.93
234,tandoori-pizza-dublin,4.0,4060 Grafton St,      Dublin,37.70,121.87
236,amakara-dublin,4.0,7222 Regional St,      Dublin,37.71,121.93
241,tasty-pot-newark,4.0,34909 Newark Blvd,      Newark,37.55,122.05
242,icicles-newark,4.0,39055 Cedar Blvd,      Newark,37.52,122.01
245,crepe-bar-newark,4.0,2078 Newpark Mall,      Newark,37.53,122.00
251,jenjons-cafe-union-city,4.0,1704 Decoto Rd,      Union City,37.59,122.02
252,k-pop-cafe-fremont,4.0,35041 Fremont Blvd,      Fremont,37.57,122.03
254,boba-guys-san-carlos-2,4.0,872 Laurel St,      San Carlos,37.50,122.26
259,sharetea-palo-alto-2,4.0,540 Bryant St,      Palo Alto,37.45,122.16
260,chatime-redwood-city-2,4.0,2202 Broadway St,      Redwood City,37.49,122.23
261,eko-coffee-bar-and-tea-house-hayward,4.0,1075 B St,      Hayward,37.67,122.08
262,tea-era-cupertino,4.0,20916 Homestead Rd,      Cupertino,37.34,122.04
263,fantasia-coffee-and-tea-cupertino,4.0,10933 N Wolfe Rd,      Cupertino,37.34,122.02
267,ten-ren-tea-cupertino,4.0,10881 N Wolfe Rd,      Cupertino,37.34,122.01
275,t4-cupertino-cupertino,4.0,19505 Stevens Creek Blvd,      Cupertino,37.32,122.01
276,sharetea-sunnyvale-3,4.0,568 El Camino Real,      Sunnyvale,37.36,122.03
279,bubble-tea-time-saratoga,4.0,18564 Prospect Rd,      Saratoga,37.29,122.00
281,teaspoon-santa-clara-7,4.0,3450 El Camino Real,      Santa Clara,37.35,121.99
282,beastea-santa-clara,4.0,2785 El Camino Real,      Santa Clara,37.35,121.98
284,tea-annie-mountain-view,4.0,1712 Miramonte Ave,      Mountain View,37.37,122.09
288,matcha-love-san-jose-6,4.0,675 Saratoga Ave,      San Jose,37.31,121.98
290,icicles-cupertino,4.0,19622 Stevens Creek Blvd,      Cupertino,37.32,122.02
298,butterfly-santa-clara,4.0,1000 Lafayette St,      Santa Clara,37.35,121.94
300,california-mochi-santa-clara-4,4.0,3030 El Camino Real,      Santa Clara,37.35,121.98
301,t4-livermore-livermore-2,4.0,4010 E Ave,      Livermore,37.68,121.75
303,big-fat-straw-cafe-livermore-2,4.0,980 Murrieta Blvd,      Livermore,37.68,121.79
304,donut-wheel-livermore,4.0,2017 1st St,      Livermore,37.68,121.77
306,saigon-cafe-livermore,4.0,2011 2nd St,      Livermore,37.68,121.77
308,menchies-frozen-yogurt-livermore,4.0,973 E Stanley Blvd,      Livermore,37.68,121.78
309,la-farfalla-bakery-fremont,4.0,39947 Mission Blvd,      Fremont,37.56,121.95
310,ice3-creamery-fremont,4.0,39957 Mission Blvd,      Fremont,37.56,121.95
311,yogurt-shop-danville,4.0,3450 Camino Tassajara Rd,      Danville,37.80,121.92
312,bean-scene-cafe-fremont-2,4.0,4000 Bay St,      Fremont,37.53,121.96
313,yogurtland-san-ramon,4.0,152 Sunset Dr,      San Ramon,37.76,121.96
320,teaspoon-milpitas,4.0,201 W Calaveras Blvd,      Milpitas,37.43,121.91
323,bcute-tea-drinks-and-finger-foods-milpitas-2,4.0,200 Serra Way,      Milpitas,37.43,121.91
325,happy-lemon-milpitas-6,4.0,279 W Calaveras Blvd,      Milpitas,37.43,121.91
326,yummi-tea-cafe-san-jose-3,4.0,2191 Morrill Ave,      San Jose,37.41,121.88
332,the-pennywort-san-jose-5,4.0,2056 N Capitol Ave,      San Jose,37.41,121.89
333,bambu-san-jose-9,4.0,1688 Hostetter Rd,      San Jose,37.39,121.88
340,shihlin-taiwan-street-snacks-milpitas,4.0,522 Barber Ln,      Milpitas,37.42,121.92
343,aroma-coffee-and-snacks-milpitas,4.0,1535 Landess Ave,      Milpitas,37.42,121.88
344,teatime-redwood-city,4.0,1003 El Camino Real,      Redwood City,37.48,122.23
345,comebuy-drinks-redwood-city,4.0,2074 Broadway,      Redwood City,37.49,122.23
346,teaspoon-redwood-city,4.0,2361 Broadway St,      Redwood City,37.49,122.23
349,bare-bowls-palo-alto,4.0,530 Emerson St,      Palo Alto,37.44,122.16
354,fraiche-palo-alto-2,4.0,200 Hamilton Ave,      Palo Alto,37.44,122.16
358,ohana-express-redwood-city-2,4.0,640 Woodside Rd,      Redwood City,37.47,122.22
359,yogurtland-palo-alto,4.0,494 University Ave,      Palo Alto,37.45,122.16
367,froyola-redwood-city,4.0,2206 Broadway St,      Redwood City,37.49,122.23
373,green-leaf-asian-bistro-and-cafe-redwood-city-2,4.0,865 Middlefield Rd,      Redwood City,37.49,122.23
376,cocohodo-sunnyvale-2,4.0,1082 E El Camino Real,      Sunnyvale,37.35,122.00
388,bobabia-san-mateo,4.0,271 - 273 Baldwin Ave,      San Mateo,37.57,122.33
389,happy-lemon-burlingame-4,4.0,1419 Burlingame Ave,      Burlingame,37.58,122.35
390,eggettes-south-san-francisco,4.0,639 El Camino Real,      South San Francisco,37.65,122.43
391,tpumps-burlingame,4.0,1118 Burlingame Ave,      Burlingame,37.58,122.35
392,teaspoon-san-mateo,4.0,128 E 3rd Ave,      San Mateo,37.56,122.32
393,cha-express-san-mateo,4.0,212 E 3rd Ave,      San Mateo,37.56,122.32
394,search-tea-millbrae-5,4.0,105 Park Blvd,      Millbrae,37.61,122.40
395,tea-world-pacifica,4.0,90 Eureka Sq,      Pacifica,37.63,122.49
399,eggettes-millbrae-2,4.0,979 Broadway,      Millbrae,37.60,122.40
403,bambu-san-mateo-2,4.0,153 South B St,      San Mateo,37.57,122.32
404,eggettes-san-mateo,4.0,47 S B St,      San Mateo,37.57,122.32
406,tpumps-foster-city,4.0,985 E Hillsdale Blvd,      Foster City,37.56,122.27
407,creme-brewlee-san-mateo-2,4.0,2948 S Norfolk St,      San Mateo,37.54,122.29
411,ya-ua-yogurt-and-boba-tea-belmont-2,4.0,1090 Alameda De Las Pulgas,      Belmont,37.51,122.29
416,icicles-san-mateo,4.0,222 E 3rd Ave,      San Mateo,37.57,122.32
421,moo-moo-yogurt-foster-city,4.0,969F Edgewater Blvd,      Foster City,37.54,122.27
422,clear-optometry-san-mateo,4.0,138 E 3rd Ave,      San Mateo,37.56,122.32
424,cream-san-mateo,4.0,134 S B St,      San Mateo,37.57,122.32
425,poke-island-creasian-kitchen-san-mateo,4.0,43 S B St,      San Mateo,37.57,122.32
429,mini-coffee-san-mateo-2,4.0,800 S B St,      San Mateo,37.56,122.32
431,ramen-dojo-san-mateo,4.0,805 S B St,      San Mateo,37.56,122.32
435,peace-love-and-boba-vacaville,4.0,3083 Alamo Dr,      Vacaville,38.34,121.95
436,halo-halo-bar-and-boba-station-suisun-city,4.0,303 Lawler Ctr Dr,      Suisun City,38.24,122.02
438,tutti-frutti-fairfield-2,4.0,3334 N Texas St,      Fairfield,38.29,122.03
439,sharetea-concord-3,4.0,1850 Mount Diablo St,      Concord,37.98,122.03
440,i-tea-pittsburg,4.0,2121 Loveridge Rd,      Pittsburg,38.01,121.87
444,mandro-teahouse-davis,4.0,1260 Lake Blvd,      Davis,38.55,121.79
447,cafe-tapioca-hercules,4.0,1581 Sycamore Ave,      Hercules,38.01,122.27
448,pho-saigon-no-1-vietnamese-restaurant-fairfield-2,4.0,1972 N Texas St,      Fairfield,38.27,122.03
449,ontap-davis,4.0,825 Russell Blvd,      Davis,38.55,121.76
450,t4-antioch-12,4.0,4532 Lone Tree Way,      Antioch,37.97,121.78
454,t4-san-pablo-3,4.0,13350 San Pablo Ave,      San Pablo,37.95,122.33
462,t4-davis-3,4.0,132 E St,      Davis,38.54,121.74
463,bangkok-paradise-fairfield,4.0,3344 N Texas St,      Fairfield,38.29,122.03
466,the-old-teahouse-davis-3,4.0,825 Russell Blvd,      Davis,38.55,121.76
472,yumygurt-pinole,4.0,2701 Pinole Valley Rd,      Pinole,38.00,122.29
